Date,EAFE Standard Core
12/31/69,100.00
01/30/70,98.62
02/27/70,96.10
03/31/70,97.34
04/30/70,88.97
05/29/70,84.28
06/30/70,85.85
07/31/70,89.00
08/31/70,89.10
09/30/70,89.49
10/30/70,88.45
11/30/70,84.37
12/31/70,85.87
01/29/71,89.07
02/26/71,89.58
03/31/71,93.17
04/30/71,96.48
05/31/71,98.00
06/30/71,100.03
07/30/71,103.99
08/31/71,102.23
09/30/71,100.39
10/29/71,96.91
11/30/71,99.79
12/31/71,108.32
01/31/72,114.28
02/29/72,121.44
03/31/72,125.09
04/28/72,127.74
05/31/72,131.54
06/30/72,127.71
07/31/72,134.26
08/31/72,135.43
09/29/72,130.68
10/31/72,131.73
11/30/72,140.06
12/29/72,144.37
01/31/73,146.52
02/28/73,158.27
03/30/73,158.90
04/30/73,149.63
05/31/73,152.89
06/29/73,156.28
07/31/73,153.97
08/31/73,145.76
09/28/73,144.40
10/31/73,147.13
11/30/73,125.60
12/31/73,120.09
01/31/74,120.55
02/28/74,124.18
03/29/74,120.59
04/30/74,123.44
05/31/74,118.25
06/28/74,112.52
07/31/74,106.44
08/30/74,95.11
09/30/74,87.84
10/31/74,88.24
11/29/74,90.67
12/31/74,89.35
01/31/75,104.90
02/28/75,118.32
03/31/75,116.63
04/30/75,121.73
05/30/75,120.39
06/30/75,115.29
07/31/75,110.15
08/29/75,109.60
09/30/75,104.23
10/31/75,112.84
11/28/75,115.14
12/31/75,117.24
01/30/76,123.04
02/27/76,121.72
03/31/76,119.29
04/30/76,118.37
05/31/76,114.80
06/30/76,116.35
07/30/76,114.62
08/31/76,114.31
09/30/76,111.96
10/29/76,104.44
11/30/76,105.34
12/31/76,116.81
01/31/77,115.74
02/28/77,117.90
03/31/77,117.88
04/29/77,120.93
05/31/77,120.03
06/30/77,122.31
07/29/77,120.07
08/31/77,124.96
09/30/77,128.27
10/31/77,131.05
11/30/77,129.51
12/30/77,133.88
01/31/78,135.15
02/28/78,136.25
03/31/78,145.72
04/28/78,144.20
05/31/78,146.68
06/30/78,152.82
07/31/78,165.63
08/31/78,168.49
09/29/78,173.01
10/31/78,182.42
11/30/78,164.95
12/29/78,172.59
01/31/79,173.11
02/28/79,171.80
03/30/79,175.09
04/30/79,173.86
05/31/79,169.71
06/29/79,172.17
07/31/79,173.61
08/31/79,177.22
09/28/79,184.39
10/31/79,169.09
11/30/79,170.59
12/31/79,175.72
01/31/80,183.58
02/29/80,182.17
03/31/80,162.17
04/30/80,176.81
05/30/80,184.34
06/30/80,195.38
07/31/80,193.69
