,All REITs1,,,,,
,Total,,Price,,Income,Dividend
Period,Return,Index,Return,Index,Return,Yield

12/31/1971,,100,,100,,
1/31/1972,1.22,101.22,0.33,100.33,0.89,6.51
2/29/1972,0.95,102.18,0.92,101.25,0.03,6.39
3/31/1972,0.25,102.44,-0.44,100.81,0.69,6.32
4/30/1972,0.25,102.7,-0.39,100.41,0.65,6.52
5/31/1972,-1.51,101.15,-1.78,98.63,0.27,7.1
6/30/1972,0.01,101.16,-0.68,97.96,0.68,7.28
7/31/1972,2.82,104.02,1.86,99.78,0.97,7.27
8/31/1972,-1.13,102.84,-1.26,98.52,0.13,7.33
9/30/1972,2.96,105.89,2.16,100.65,0.81,7.25
10/31/1972,2.85,108.9,1.94,102.6,0.91,7.24
11/30/1972,2.12,111.21,1.96,104.61,0.16,7.16
12/31/1972,-0.02,111.19,-0.73,103.84,0.71,7.26
1/31/1973,0.34,111.57,-0.61,103.21,0.96,7.59
2/28/1973,-6.44,104.39,-6.56,96.44,0.12,8.11
3/31/1973,1.59,106.05,0.74,97.15,0.85,8.19
4/30/1973,-3.88,101.94,-4.73,92.55,0.86,8.25
5/31/1973,-4.03,97.82,-4.24,88.62,0.21,8.59
6/30/1973,0.92,98.72,-0.03,88.59,0.95,8.64
7/31/1973,2.17,100.87,1.16,89.62,1.01,8.55
8/31/1973,-6.53,94.28,-6.69,83.62,0.16,9.22
9/30/1973,7.85,101.67,6.88,89.38,0.97,8.66
10/31/1973,1.23,102.92,0.16,89.52,1.06,8.74
11/30/1973,-14.03,88.48,-14.18,76.82,0.16,10.25
12/31/1973,-8.54,80.93,-9.58,69.46,1.04,11.38
1/31/1974,3.1,83.44,1.69,70.64,1.42,11.52
2/28/1974,4.57,87.26,4.23,73.62,0.34,11.04
3/31/1974,-3.67,84.05,-4.76,70.12,1.08,11.51
4/30/1974,-12.23,73.77,-13.64,60.55,1.41,19.2
5/31/1974,-5.66,69.6,-5.9,56.98,0.25,19.11
6/30/1974,-9.19,63.2,-10.55,50.97,1.36,15.34
7/31/1974,-1.6,62.19,-3.3,49.29,1.7,15.11
8/31/1974,-17.94,51.03,-18.26,40.29,0.33,17.9
9/30/1974,3.37,52.76,1.75,40.99,1.62,16.78
10/31/1974,8.9,57.45,7.1,43.9,1.79,14.15
11/30/1974,-10.48,51.43,-10.69,39.21,0.21,15.41
12/31/1974,-9.1,46.75,-10.63,35.04,1.53,16.46
1/31/1975,30.81,61.16,29.04,45.22,1.78,12.22
2/28/1975,-4.61,58.34,-4.89,43.01,0.28,12.76
3/31/1975,8.95,63.56,7.64,46.29,1.3,11.69
4/30/1975,-5.42,60.11,-6.52,43.28,1.1,12.13
5/31/1975,3.4,62.16,3.09,44.61,0.31,11.65
6/30/1975,6.38,66.13,5.06,46.87,1.33,11.24
7/31/1975,0.23,66.28,-1.03,46.39,1.26,11.6
8/31/1975,-1.44,65.32,-1.58,45.65,0.14,11.39
9/30/1975,-7.65,60.33,-8.89,41.59,1.24,12.32
10/31/1975,-1.37,59.5,-2.64,40.5,1.26,12.13
11/30/1975,1.41,60.33,1.32,41.03,0.09,11.9
12/31/1975,5.64,63.74,4.37,42.82,1.27,11.21
1/31/1976,14.57,73.03,12.98,48.38,1.59,10.3
2/29/1976,3.91,75.88,3.69,50.17,0.22,9.39
3/31/1976,-0.89,75.21,-1.7,49.32,0.81,9.49
4/30/1976,0.73,75.76,-0.33,49.15,1.05,8.76
5/31/1976,-1.99,74.25,-2.27,48.04,0.28,8.94
6/30/1976,1.38,75.28,0.54,48.3,0.84,9.07
7/31/1976,3.11,77.61,2.03,49.28,1.08,8.54
8/31/1976,2.96,79.91,2.7,50.61,0.25,8.18
9/30/1976,3.34,82.58,2.42,51.84,0.92,8.46
10/31/1976,1.25,83.62,0.3,52,0.95,8.51
11/30/1976,4.33,87.24,4.08,54.12,0.25,8.26
12/31/1976,8.84,94.96,8.04,58.47,0.8,7.42
1/31/1977,1.81,96.68,0.82,58.95,0.99,7.64
2/28/1977,-0.46,96.23,-0.7,58.53,0.24,7.82
3/31/1977,0.36,96.58,-0.44,58.28,0.8,8.01
4/30/1977,3.65,100.11,2.85,59.94,0.81,7.68
5/31/1977,-1.13,98.98,-1.48,59.05,0.35,7.98
6/30/1977,5.1,104.03,4.32,61.6,0.79,7.7
7/31/1977,3.32,107.48,2.46,63.12,0.86,7.62
8/31/1977,1.1,108.66,0.77,63.6,0.33,7.68
9/30/1977,-1.56,106.97,-2.32,62.13,0.76,7.93
10/31/1977,-1.11,105.77,-2.02,60.87,0.91,8.25
11/30/1977,6.66,112.82,6.37,64.75,0.29,7.84
12/31/1977,0.22,113.07,-0.58,64.37,0.8,7.92
1/31/1978,-3.21,109.44,-3.79,61.94,0.57,8.29
2/28/1978,1.14,110.68,0.37,62.17,0.76,8.4
3/31/1978,3.86,114.95,3.32,64.23,0.54,8.22
4/30/1978,0.53,115.56,-0.36,64,0.89,8.27
5/31/1978,-1.77,113.52,-2.37,62.48,0.6,8.41
6/30/1978,-0.25,113.25,-0.72,62.03,0.48,8.48
7/31/1978,2.6,116.19,1.59,63.02,1,8.41
8/31/1978,4.22,121.1,3.55,65.26,0.67,8.16
9/30/1978,1.36,122.75,0.74,65.74,0.62,8.17
10/31/1978,-10.54,109.81,-11.52,58.17,0.98,9.37
11/30/1978,0.63,110.5,0.13,58.24,0.5,9.46
12/31/1978,0.65,111.21,0.11,58.31,0.53,9.54
1/31/1979,7.65,119.72,6.45,62.07,1.2,9.07
2/28/1979,-0.22,119.46,-1.03,61.43,0.81,9.31
3/31/1979,7.95,128.96,7.43,66,0.52,8.65
4/30/1979,1.51,130.91,0.52,66.34,0.99,8.73
5/31/1979,-0.14,130.73,-0.81,65.81,0.67,8.93
6/30/1979,7.77,140.89,7.27,70.59,0.5,8.35
7/31/1979,2.55,144.49,1.56,71.69,0.99,8.36
8/31/1979,10.08,159.05,9.38,78.42,0.7,7.72
9/30/1979,-2.8,154.59,-3.43,75.73,0.63,8.08
10/31/1979,-11.44,136.9,-12.42,66.32,0.97,9.36
11/30/1979,5.24,144.07,4.68,69.42,0.56,9.15
12/31/1979,0.76,145.16,0.24,69.59,0.52,9.15
1/31/1980,6.88,155.16,5.73,73.58,1.15,8.87
2/29/1980,-1.17,153.35,-2.08,72.05,0.91,9.17
3/31/1980,-13.31,132.93,-13.87,62.06,0.56,10.77
4/30/1980,8.47,144.19,7.47,66.69,1,10.16
5/31/1980,7.66,155.24,1.72,67.84,5.94,9.67
6/30/1980,5.8,164.24,5.24,71.39,0.56,9.42
7/31/1980,7.98,177.36,6.97,76.37,1.02,8.63
8/31/1980,2.16,181.18,1.51,77.53,0.64,8.6
9/30/1980,-1.77,177.97,-2.44,75.63,0.68,9.13
10/31/1980,7.94,192.1,6.78,80.76,1.16,8.7
11/30/1980,-1.03,190.13,-1.46,79.58,0.43,8.79
12/31/1980,-2.26,185.84,-2.87,77.3,0.61,9.15
1/31/1981,1.87,189.32,0.75,77.87,1.13,9.21
